Ano,43001 regiao 01  Verdes Campos,43003 regiao 03  Fronteira Oeste,43004 regiao 04  Belas Praias,43005 regiao 05  Bons Ventos,43006 regiao 06  Vale do Paranhana e Costa Serra,43007 regiao 07  Vale dos Sinos,43008 regiao 08  Vale do Cai e Metropolitana,43009 regiao 09  CarboniferaCosta Doce,43010 regiao 10  Capital e Vale do Gravatai,43011 regiao 11  Sete Povos das Missoes,43012 regiao 12  Portal das Missoes,43013 regiao 13  Diversidade,43014 regiao 14  Fronteira Noroeste,43015 regiao 15  Caminho das Aguas,43016 regiao 16  Alto Uruguai Gaucho,43017 regiao 17  Planalto,43021 regiao 21  Sul,43022 regiao 22  Pampa,43023 regiao 23  Caxias e Hortensias,43025 regiao 25  Vinhedos e Basalto,43026 regiao 26  Uva Vale,43028 regiao 28  Vinte e Oito,43029 regiao 29  Vales e Montanhas,Total
2013,,6,1,6,,1,,,286,,,1,,,,1,2,,,4,1,,,309
2014,,6,,,,,2,,231,,2,,2,,,,,,1,,,2,,246
2015,1,4,3,2,,,3,,190,,,,1,,,,1,,2,8,,,,215
2016,,,2,1,,,2,,194,,2,1,3,,,1,,1,1,,3,,,211
2017,1,2,,,,,5,1,281,,1,1,2,,1,4,,,,,1,1,1,302
2018,2,7,1,1,1,,,,196,1,1,1,3,1,,2,,1,,,,2,,220
2019,1,3,,2,1,,2,,186,1,,,2,,1,,,1,,,1,,,201
2020,2,1,,,,1,1,,241,1,2,1,1,,,4,,,,,,,,255
2021,1,2,1,,1,,,1,173,,1,1,2,,,6,,,,,15,,,204
2022,,1,2,,,1,1,,180,1,,,2,,,1,,,,,,,,189
2023,,1,,,1,,,,167,,,2,1,,1,,1,1,,,,,,175