Ano,43001 regiao 01  Verdes Campos,43002 regiao 02  Entre Rios,43003 regiao 03  Fronteira Oeste,43004 regiao 04  Belas Praias,43005 regiao 05  Bons Ventos,43006 regiao 06  Vale do Paranhana e Costa Serra,43007 regiao 07  Vale dos Sinos,43008 regiao 08  Vale do Cai e Metropolitana,43009 regiao 09  Carbonifera/Costa Doce,43010 regiao 10  Capital e Vale do Gravatai,43011 regiao 11  Sete Povos das Missoes,43012 regiao 12  Portal das Missoes,43013 regiao 13  Diversidade,43014 regiao 14  Fronteira Noroeste,43015 regiao 15  Caminho das Aguas,43016 regiao 16  Alto Uruguai Gaucho,43017 regiao 17  Planalto,43018 regiao 18  Araucarias,43019 regiao 19  Botucarai,43020 regiao 20  Rota da Producao,43021 regiao 21  Sul,43022 regiao 22  Pampa,43023 regiao 23  Caxias e Hortensias,43024 regiao 24  Campos de Cima da Serra,43025 regiao 25  Vinhedos e Basalto,43026 regiao 26  Uva Vale,43027 regiao 27  JacuiCentro,43028 regiao 28  Vinte e Oito,43029 regiao 29  Vales e Montanhas,43030 regiao 30  Vale da Luz,Total
2013,1,30,7,1,583,2,1377,46,,531,1,3,2,6,236,2,10,35,2,,15,,8,,18,25,36,239,3,,3219
2014,8,31,6,2,555,3,1236,363,,444,2,8,1,13,328,2,5,34,,,38,1,5,,27,14,16,280,5,,3427
2015,3,17,5,3,362,3,1213,498,,524,1,9,1,18,485,1,12,28,1,1,27,,17,,58,17,30,352,6,,3692
2016,3,31,19,3,456,4,1265,427,,509,,4,3,19,621,2,4,2,,,27,1,14,,62,21,17,355,9,,3878
2017,8,41,5,4,462,7,1246,284,3,707,,2,5,13,587,2,6,,,,32,,2,,74,2,32,309,4,,3837
2018,11,54,12,6,476,4,1041,335,,768,1,7,3,8,574,2,3,83,3,1,8,1,13,,86,6,26,407,5,,3944
2019,16,46,8,2,489,11,998,541,,1219,3,8,1,3,724,3,6,100,21,1,11,1,12,,57,5,19,360,10,,4675
2020,18,53,3,12,624,10,1004,531,,1086,1,4,4,10,765,4,6,100,30,1,25,,22,,54,,22,347,30,2,4768
2021,20,34,3,32,786,8,1039,556,3,990,,4,2,7,657,,9,115,39,1,2,,22,,81,19,36,360,44,22,4891
2022,24,84,4,332,759,3,1071,600,1,990,1,2,4,8,772,1,4,156,26,1,9,,13,1,86,5,32,431,73,3,5496
2023,10,174,2,90,571,14,584,434,6,922,1,,4,7,531,2,5,141,18,1,4,1,11,2,43,4,19,251,56,12,3920