Ano processamento;43001 regiao 01  Verdes Campos;43002 regiao 02  Entre Rios;43003 regiao 03  Fronteira Oeste;43004 regiao 04  Belas Praias;43005 regiao 05  Bons Ventos;43006 regiao 06  Vale do Paranhana e Costa Serra;43007 regiao 07  Vale dos Sinos;43008 regiao 08  Vale do Cai e Metropolitana;43009 regiao 09  Carbonifera/Costa Doce;43010 regiao 10  Capital e Vale do Gravatai;43011 regiao 11  Sete Povos das Missoes;43012 regiao 12  Portal das Missoes;43013 regiao 13  Diversidade;43014 regiao 14  Fronteira Noroeste;43015 regiao 15  Caminho das Aguas;43016 regiao 16  Alto Uruguai Gaucho;43017 regiao 17  Planalto;43018 regiao 18  Araucarias;43019 regiao 19  Botucarai;43020 regiao 20  Rota da Producao;43021 regiao 21  Sul;43022 regiao 22  Pampa;43023 regiao 23  Caxias e Hortensias;43024 regiao 24  Campos de Cima da Serra;43025 regiao 25  Vinhedos e Basalto;43026 regiao 26  Uva Vale;43027 regiao 27  Jacui Centro;43028 regiao 28  Vinte e Oito;43029 regiao 29  Vales e Montanhas;43030 regiao 30  Vale da Luz;Total
2013;2;32;10;1;598;3;1427;46;;650;3;3;3;7;242;2;10;40;2;;19;;11;;18;30;43;252;3;;3457
2014;8;31;10;2;578;5;1280;379;;564;2;8;1;13;330;4;5;39;;;43;2;11;;32;18;17;307;5;;3694
2015;3;18;8;4;377;3;1262;532;;660;1;10;1;19;490;1;12;29;1;1;28;;23;;63;26;32;378;6;;3988
2016;4;32;20;3;470;4;1310;444;1;624;;5;3;19;628;2;4;2;;;34;1;18;;68;27;19;372;9;;4123
2017;9;42;5;5;517;7;1285;311;3;986;;2;7;13;595;2;6;;;;34;;5;;77;7;34;328;4;;4284
2018;12;56;14;6;539;7;1067;356;;1062;1;7;3;8;589;2;3;91;3;2;11;1;14;;89;6;29;413;5;;4396
2019;17;51;8;2;567;14;1032;573;;1605;3;9;1;3;736;3;7;108;21;1;13;1;17;;62;5;21;377;10;;5267
2020;18;58;3;13;691;11;1047;563;;1393;1;4;4;10;776;4;6;105;30;1;26;;26;;60;1;25;371;31;2;5280
2021;21;37;5;34;881;9;1075;587;4;1252;;5;2;7;680;;12;119;39;1;2;;26;;89;19;37;388;45;22;5398
2022;25;88;5;356;844;4;1102;642;1;1255;1;2;4;9;789;1;6;165;27;1;10;;15;1;95;5;33;471;76;3;6036
2023;12;176;3;100;626;17;606;477;6;1177;1;;5;8;546;2;5;152;18;1;4;1;13;2;47;4;19;265;59;12;4364
Total;131;621;91;526;6688;84;12493;4910;15;11228;13;55;34;116;6401;23;76;850;141;8;224;6;179;3;700;148;309;3922;253;39;50287