Ano processamento,43001 Região 01 - Verdes Campos,43002 Região 02 - Entre Rios,43003 Região 03 - Fronteira Oeste,43004 Região 04 - Belas Praias,43005 Região 05 - Bons Ventos,43006 Região 06 - Vale do Paranhana e Costa Serra,43007 Região 07 - Vale dos Sinos,43008 Região 08 - Vale do Caí e Metropolitana,43009 Região 09 - Carbonífera/Costa Doce,43010 Região 10 - Capital e Vale do Gravataí,43011 Região 11 - Sete Povos das Missões,43012 Região 12 - Portal das Missões,43013 Região 13 - Diversidade,43014 Região 14 - Fronteira Noroeste,43015 Região 15 - Caminho das Águas,43016 Região 16 - Alto Uruguai Gaúcho,43017 Região 17 - Planalto,43018 Região 18 - Araucárias,43019 Região 19 - Botucaraí,43020 Região 20 - Rota da Produção,43021 Região 21 - Sul,43022 Região 22 - Pampa,43023 Região 23 - Caxias e Hortênsias,43025 Região 25 - Vinhedos e Basalto,43026 Região 26 - Uva Vale,43027 Região 27 - Jacuí Centro,43028 Região 28 - Vinte e Oito,43029 Região 29 - Vales e Montanhas,Total
2013,1,2,3,-,15,1,50,-,-,119,2,-,1,1,6,-,-,5,-,-,4,-,3,-,5,7,13,-,238
2014,-,-,4,-,23,2,44,16,-,120,-,-,-,-,2,2,-,5,-,-,5,1,6,5,4,1,27,-,267
2015,-,1,3,1,15,-,49,34,-,136,-,1,-,1,5,-,-,1,-,-,1,-,6,5,9,2,26,-,296
2016,1,1,1,-,14,-,45,17,1,115,-,1,-,-,7,-,-,-,-,-,7,-,4,6,6,2,17,-,245
2017,1,1,-,1,55,-,39,27,-,279,-,-,2,-,8,-,-,-,-,-,2,-,3,3,5,2,19,-,447
2018,1,2,2,-,63,3,26,21,-,294,-,-,-,-,15,-,-,8,-,1,3,-,1,3,-,3,6,-,452
2019,1,5,-,-,78,3,34,32,-,386,-,1,-,-,12,-,1,8,-,-,2,-,5,5,-,2,17,-,592
2020,-,5,-,1,67,1,43,32,-,307,-,-,-,-,11,-,-,5,-,-,1,-,4,6,1,3,24,1,512
2021,1,3,2,2,95,1,36,31,1,262,-,1,-,-,23,-,3,4,-,-,-,-,4,8,-,1,28,1,507
2022,1,4,1,24,85,1,31,42,-,265,-,-,-,1,17,-,2,9,1,-,1,-,2,9,-,1,40,3,540
2023,2,2,1,10,55,3,22,43,-,255,-,-,1,1,15,-,-,11,-,-,-,-,2,4,-,-,14,3,444
Total,9,26,17,39,565,15,419,295,2,2538,2,4,4,4,121,2,6,56,1,1,26,1,40,54,30,24,231,8,4540